"pop2022","pop2021","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","rank","density"
8930002,8867096,8804190,8175133,"0.00709","NY",3651000,2395220,"New York City","2",0,777983000,434642000,300.381,167.816,40.6635,-73.9387,"new-york-city-ny",35620,1,29729
3919973,3909360,3898747,3792621,"0.00271","CA",644000,2410877,"Los Angeles","2",0,1214590000,87468500,468.956,33.772,34.0194,-118.411,"los-angeles-ca",31080,2,8359
2756546,2751467,2746388,2695598,"0.00185","IL",1714000,428803,"Chicago","2",0,588882000,17621500,227.369,6.804,41.8376,-87.6818,"chicago-il",16980,3,12124
2345606,2325093,2304580,2099451,"0.00882","TX",4835000,2410796,"Houston","2",0,1658090000,81248100,640.194,31.37,29.7857,-95.3888,"houston-tx",26420,4,3664
1640641,1624390,1608139,1445632,"0.01000","AZ",455000,2411414,"Phoenix","2",0,1340770000,3236740,517.673,1.25,33.5722,-112.09,"phoenix-az",38060,5,3169
1619355,1611576,1603797,1526006,"0.00483","PA",4260000,1215531,"Philadelphia","2",0,347782000,21806100,134.279,8.419,40.0094,-75.1333,"philadelphia-pa",37980,6,12060
1456069,1445347,1434625,1327407,"0.00742","TX",4865000,2411774,"San Antonio","2",0,1256440000,14515600,485.113,5.605,29.4659,-98.5247,"san-antonio-tx",41700,7,3002
1402838,1394885,1386932,1307402,"0.00570","CA",666000,2411782,"San Diego","2",0,844018000,120537000,325.877,46.54,32.815,-117.136,"san-diego-ca",41740,8,4305
1325691,1315035,1304379,1197816,"0.00810","TX",4819000,2410288,"Dallas","2",0,879911000,115783000,339.736,44.704,32.7933,-96.7665,"dallas-tx",19100,9,3902
1026700,1019970,1013240,945942,"0.00660","CA",668000,2411790,"San Jose","2",0,460521000,8129850,177.808,3.139,37.2967,-121.819,"san-jose-ca",41940,10,5774
996147,979001,961855,790390,"0.01751","TX",4805000,2409761,"Austin","2",0,828638000,17024700,319.939,6.573,30.3012,-97.7527,"austin-tx",12420,11,3114
975177,962394,949611,821784,"0.01328","FL",1235000,2404783,"Jacksonville","2",0,1935930000,329458000,747.467,127.204,30.3369,-81.6616,"jacksonville-fl",27260,12,1305
954457,936686,918915,741206,"0.01897","TX",4827000,2410531,"Fort Worth","2",0,895059000,21698300,345.584,8.378,32.7815,-97.3467,"fort-worth-tx",19100,13,2762
929492,917620,905748,787033,"0.01294","OH",3918000,1086101,"Columbus","2",0,567718000,15174700,219.197,5.859,39.9852,-82.9848,"columbus-oh",18140,14,4240
903211,888895,874579,731424,"0.01611","NC",3712000,2404032,"Charlotte","2",0,795744000,5151780,307.238,1.989,35.2079,-80.8301,"charlotte-nc",16740,15,2940
901082,894362,887642,820445,"0.00751","IN",1836003,2395424,"Indianapolis","0",0,936465000,16419900,361.571,6.34,39.7767,-86.1459,"indianapolis-in",26900,16,2492
887711,880838,873965,805235,"0.00780","CA",667000,2411786,"San Francisco","2",0,121478000,479115000,46.903,184.987,37.7272,-123.032,"san-francisco-ca",41860,17,18927
762687,749851,737015,608660,"0.01712","WA",5363000,2411856,"Seattle","2",0,217201000,150761000,83.862,58.209,47.6194,-122.351,"seattle-wa",42660,18,9095
738594,727058,715522,600158,"0.01587","CO",820000,2410324,"Denver","2",0,397025000,4245400,153.292,1.639,39.7618,-104.881,"denver-co",19740,19,4818
707109,698327,689545,601723,"0.01258","DC",1150000,2390665,"Washington","2",0,158340000,18687200,61.136,7.215,38.9042,-77.0165,"washington-dc",47900,20,11566
707091,698269,689447,601222,"0.01263","TN",4752006,2405092,"Nashville","0",0,1231650000,56229800,475.543,21.71,36.1718,-86.785,"nashville-tn",34980,21,1487
701266,691160,681054,579999,"0.01462","OK",4055000,2411311,"Oklahoma City","2",0,1570680000,37116500,606.445,14.331,35.4671,-97.5137,"oklahoma-city-ok",36420,22,1156
687257,681452,675647,617594,"0.00852","MA",2507000,619463,"Boston","2",0,125197000,106914000,48.339,41.28,42.3386,-71.0182,"boston-ma",,23,14217
684753,681784,678815,649121,"0.00435","TX",4824000,2410414,"El Paso","2",0,666715000,2089730,257.42,0.807,31.8478,-106.431,"el-paso-tx",21340,24,2660
666249,659376,652503,583776,"0.01042","OR",4159000,2411471,"Portland","2",0,345558000,29925600,133.421,11.554,45.5369,-122.65,"portland-or",38900,25,4994
653533,647718,641903,583756,"0.00898","NV",3240000,2411630,"Las Vegas","2",0,367175000,138524,141.767,0.053,36.2335,-115.264,"las-vegas-nv",29820,26,4610
